date,pv,gt_score,edit_count,editor_count,day_index,week_index,phase
2021-04-10,17515,97.0,2,2,1,1,input
2021-04-11,21923,100.0,1,1,2,1,input
2021-04-12,9044,43.0,2,2,3,1,input
2021-04-13,6249,27.0,0,0,4,1,input
2021-04-14,4046,0.0,0,0,5,1,input
2021-04-15,3384,0.0,1,1,6,1,input
2021-04-16,3064,0.0,1,1,7,1,input
2021-04-17,12604,40.0,2,2,8,2,input
2021-04-18,19155,76.0,1,1,9,2,input
2021-04-19,9101,28.0,1,1,10,2,input
2021-04-20,6644,0.0,1,1,11,2,input
2021-04-21,4688,21.0,1,1,12,2,input
2021-04-22,3847,0.0,1,1,13,2,input
2021-04-23,3356,0.0,1,1,14,2,input
2021-04-24,14707,42.0,3,3,15,3,input
2021-04-25,18439,75.0,3,3,16,3,input
2021-04-26,7971,26.0,2,2,17,3,input
2021-04-27,5470,22.0,2,2,18,3,input
2021-04-28,4301,24.0,2,2,19,3,input
2021-04-29,4849,26.0,1,1,20,3,input
2021-04-30,3413,22.0,0,0,21,3,input
2021-05-10,6726,39.0,0,0,31,5,Y_1m
2021-07-09,3959,0.0,0,0,91,13,Y_3m
