anime_title,pv_w1,pv_w2,pv_w3,gt_w1,gt_w2,gt_w3,edit_w1,edit_w2,edit_w3,editor_w1,editor_w2,editor_w3,Y_1m_gt,Y_2m_gt,Y_3m_gt,Y_4m_gt,Y_5m_gt
kimetsu_no_yaiba,154699.0,113016.0,109363.0,107.0,110.0,108.0,12,12,9,12,12,9,24.0,11.0,29.0,50.0,58.0
jujutsu_kaisen,176277.0,187201.0,206829.0,104.0,117.0,128.0,10,17,12,10,17,12,25.0,39.0,51.0,72.0,84.0
chainsaw_man,304705.0,214395.0,192848.0,449.0,319.0,378.0,32,23,20,32,23,20,56.0,39.0,29.0,20.0,12.0
spy_x_family,202767.0,268867.0,218671.0,390.0,400.0,283.0,7,7,4,7,7,4,31.0,19.0,12.0,16.0,10.0
bocchi_the_rock,54697.0,48864.0,52384.0,82.0,75.0,84.0,13,5,6,13,5,6,26.0,39.0,57.0,34.0,19.0
shingeki_final_season,60017.0,48905.0,31175.0,246.0,180.0,166.0,6,2,2,6,2,2,28.0,27.0,30.0,29.0,16.0
vinland_saga,105597.0,34573.0,34555.0,309.0,117.0,118.0,7,0,1,7,0,1,10.0,6.0,17.0,12.0,9.0
mushoku_tensei,144263.0,154525.0,124654.0,344.0,373.0,312.0,10,11,3,10,11,3,38.0,25.0,28.0,10.0,8.0
violet_evergarden,119471.0,83852.0,55693.0,347.0,279.0,198.0,10,13,17,10,13,17,29.0,19.0,20.0,6.0,7.0
eighty_six,65225.0,59395.0,59150.0,262.0,183.0,182.0,7,8,13,7,8,13,22.0,25.0,0.0,0.0,0.0
yakusoku_no_neverland,196302.0,128660.0,101974.0,382.0,288.0,270.0,11,5,11,11,5,11,37.0,31.0,24.0,22.0,15.0
tensei_slime,135384.0,119487.0,103322.0,352.0,331.0,296.0,12,20,10,12,20,10,54.0,39.0,42.0,54.0,33.0
darling_in_the_franxx,94623.0,88942.0,81872.0,350.0,346.0,306.0,15,20,13,15,20,13,41.0,5.0,6.0,17.0,7.0
tokyo_revengers,119947.0,149420.0,158842.0,113.0,156.0,180.0,13,12,8,13,12,8,37.0,36.0,100.0,73.0,54.0
lycoris_recoil,96589.0,111755.0,143303.0,161.0,197.0,269.0,15,9,15,15,9,15,41.0,35.0,45.0,22.0,10.0
kaguya_sama,98351.0,83824.0,89650.0,233.0,214.0,275.0,13,8,4,13,8,4,50.0,34.0,21.0,16.0,8.0
gotoubun_no_hanayome,130614.0,93233.0,83019.0,302.0,253.0,254.0,21,13,9,21,13,9,39.0,47.0,50.0,30.0,32.0
oregairu_kan,76246.0,50002.0,47605.0,415.0,266.0,242.0,5,2,2,5,2,2,45.0,30.0,19.0,16.0,16.0
sora_yori,45416.0,43039.0,39484.0,318.0,244.0,234.0,9,7,10,9,7,10,26.0,24.0,39.0,12.0,10.0
heike_monogatari,8968.0,8431.0,7818.0,53.0,40.0,27.0,3,1,8,3,1,8,0.0,0.0,11.0,69.0,43.0
dr_stone,89554.0,87347.0,57664.0,461.0,300.0,209.0,12,4,8,12,4,8,22.0,26.0,29.0,37.0,32.0
horimiya,4383.0,3342.0,2833.0,276.0,229.0,202.0,1,0,0,1,0,0,30.0,29.0,36.0,11.0,6.0
yurucamp,63568.0,59218.0,57724.0,265.0,303.0,338.0,18,9,18,18,9,18,58.0,54.0,40.0,36.0,23.0
kakushigoto,68255.0,68051.0,52947.0,273.0,272.0,305.0,8,9,9,8,9,9,21.0,30.0,40.0,0.0,0.0
sk8_the_infinity,15154.0,11278.0,11860.0,83.0,0.0,103.0,4,1,4,4,1,4,0.0,75.0,62.0,0.0,0.0
summertime_rendering,21186.0,95969.0,44766.0,149.0,395.0,218.0,2,4,2,2,4,2,30.0,16.0,19.0,20.0,16.0
arifureta,106588.0,98586.0,60427.0,428.0,409.0,315.0,9,5,3,9,5,3,40.0,32.0,49.0,20.0,11.0
wotakoi,63004.0,40667.0,41639.0,396.0,297.0,297.0,2,1,2,2,1,2,40.0,15.0,15.0,16.0,12.0
talentless_nana,113325.0,86999.0,58957.0,411.0,350.0,242.0,4,2,1,4,2,1,32.0,19.0,47.0,7.0,7.0
maidragon_s2,107063.0,82096.0,62720.0,497.0,436.0,384.0,14,3,2,14,3,2,52.0,35.0,33.0,15.0,17.0
re_zero_s2,129391.0,118053.0,106948.0,398.0,304.0,295.0,3,6,4,3,6,4,37.0,41.0,42.0,26.0,19.0
ousama_ranking,82766.0,75175.0,91886.0,407.0,398.0,430.0,5,2,2,5,2,2,53.0,33.0,57.0,57.0,32.0
blue_lock,81293.0,63032.0,52139.0,163.0,149.0,138.0,14,7,3,14,7,3,20.0,35.0,50.0,63.0,43.0
sono_bisque_doll,109241.0,127464.0,109493.0,249.0,359.0,291.0,12,9,6,12,9,6,36.0,33.0,40.0,17.0,12.0
oshi_no_ko,2315.0,1690.0,1384.0,443.0,522.0,428.0,0,0,0,0,0,0,51.0,54.0,38.0,30.0,19.0
frieren,538634.0,204619.0,141697.0,261.0,118.0,94.0,24,10,9,24,10,9,18.0,11.0,9.0,16.0,9.0
jujutsu_kaisen_s2,188371.0,134145.0,144110.0,466.0,336.0,385.0,1,1,1,1,1,1,61.0,44.0,89.0,66.0,52.0
umamusume_s2,16055.0,17094.0,96775.0,12.0,14.0,226.0,7,6,14,7,6,14,84.0,67.0,71.0,47.0,29.0
kimetsu_yuukaku,3901.0,2683.0,2747.0,235.0,103.0,90.0,0,0,0,0,0,0,10.0,8.0,3.0,1.0,2.0
kimetsu_katanakaji,3241.0,1676.0,3549.0,202.0,105.0,151.0,0,1,0,0,1,0,14.0,10.0,4.0,1.0,0.0
gundam_witch,241278.0,159963.0,117340.0,300.0,181.0,156.0,26,21,20,26,21,20,14.0,7.0,9.0,5.0,3.0
shingeki_s4p2,69459.0,54892.0,55802.0,442.0,370.0,388.0,2,1,0,2,1,0,56.0,43.0,48.0,19.0,17.0
mushoku_tensei_s2,63240.0,65279.0,63616.0,394.0,372.0,435.0,5,3,3,5,3,3,57.0,52.0,49.0,18.0,10.0
kaguya_s3,43142.0,46076.0,45226.0,352.0,296.0,264.0,9,3,4,9,3,4,41.0,23.0,24.0,17.0,12.0
my_hero_academia_s6,54840.0,45264.0,42585.0,402.0,306.0,273.0,5,2,1,5,2,1,32.0,24.0,30.0,33.0,22.0
odd_taxi,17286.0,15899.0,14845.0,56.0,47.0,45.0,9,6,5,9,6,5,6.0,7.0,32.0,15.0,19.0
tensura_s2,93811.0,90722.0,92307.0,247.0,223.0,216.0,7,4,3,7,4,3,38.0,33.0,29.0,24.0,18.0
sword_art_online_alicization,2669.0,1573.0,1354.0,312.0,217.0,208.0,0,0,0,0,0,0,22.0,16.0,49.0,26.0,17.0
boku_no_kokoro,46507.0,31427.0,26039.0,182.0,167.0,133.0,7,3,5,7,3,5,39.0,38.0,31.0,22.0,27.0
vivy,38907.0,25260.0,28824.0,237.0,114.0,80.0,15,12,8,15,12,8,9.0,11.0,11.0,0.0,0.0
one_punch_man,138530.0,153115.0,120989.0,446.0,382.0,296.0,18,27,9,18,27,9,61.0,41.0,24.0,17.0,12.0
konosuba_s1,122951.0,147574.0,138910.0,0.0,23.0,77.0,11,7,5,11,7,5,41.0,35.0,19.0,,
re_zero_s1,173575.0,121594.0,134377.0,74.0,66.0,58.0,18,11,10,18,11,10,9.0,6.0,36.0,50.0,23.0
my_hero_academia_s1,165060.0,111703.0,92229.0,213.0,35.0,34.0,29,9,13,29,9,13,0.0,0.0,46.0,,
mob_psycho_100,52524.0,42034.0,44260.0,76.0,28.0,9.0,10,11,6,10,11,6,0.0,12.0,16.0,,
yuri_on_ice,87770.0,73127.0,63583.0,111.0,48.0,0.0,19,12,6,19,12,6,0.0,0.0,46.0,,
konosuba_s2,460.0,537.0,1499.0,376.0,349.0,301.0,0,0,0,0,0,0,27.0,29.0,0.0,,
youjo_senki,118468.0,119569.0,128909.0,284.0,249.0,251.0,18,25,17,18,25,17,87.0,23.0,19.0,10.0,
my_hero_academia_s2,69540.0,62827.0,57071.0,220.0,97.0,51.0,21,9,5,21,9,5,0.0,0.0,0.0,38.0,
attack_on_titan_s2,59641.0,37576.0,29183.0,271.0,217.0,230.0,7,2,3,7,2,3,47.0,25.0,15.0,4.0,2.0
made_in_abyss,85912.0,67251.0,54968.0,251.0,216.0,109.0,13,6,7,13,6,7,18.0,16.0,29.0,24.0,19.0
my_hero_academia_s3,61936.0,60943.0,59439.0,291.0,227.0,237.0,15,20,11,15,20,11,14.0,0.0,13.0,18.0,13.0
hataraku_saibou,85338.0,96870.0,102827.0,384.0,355.0,399.0,13,10,13,13,10,13,43.0,20.0,18.0,12.0,10.0
attack_on_titan_s3,30725.0,21313.0,16949.0,302.0,238.0,183.0,9,1,3,9,1,3,19.0,8.0,18.0,,
goblin_slayer,284914.0,175143.0,115018.0,412.0,190.0,122.0,22,23,20,22,23,20,23.0,11.0,12.0,,
tate_no_yuusha,175437.0,156359.0,155852.0,416.0,320.0,309.0,22,15,29,22,15,29,55.0,30.0,25.0,52.0,29.0
attack_on_titan_s3p2,51835.0,38870.0,39959.0,0.0,99.0,0.0,5,7,4,5,7,4,0.0,0.0,0.0,,
fruits_basket_2019,1629.0,972.0,678.0,207.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,,
fire_force,135595.0,105982.0,58325.0,321.0,100.0,88.0,6,9,9,6,9,9,0.0,0.0,25.0,36.0,
cautious_hero,2629.0,1920.0,1329.0,304.0,330.0,198.0,2,0,0,2,0,0,0.0,0.0,0.0,,
one_punch_man_s2,78355.0,88995.0,85147.0,170.0,143.0,152.0,14,10,6,14,10,6,17.0,38.0,8.0,3.0,
my_hero_academia_s4,19777.0,14285.0,10286.0,256.0,105.0,73.0,17,2,1,17,2,1,6.0,0.0,6.0,7.0,
eizouken,84897.0,57521.0,39320.0,370.0,266.0,167.0,8,1,5,8,1,5,27.0,24.0,27.0,79.0,
hamefura,1.0,0.0,0.0,185.0,115.0,333.0,0,0,0,0,0,0,26.0,23.0,0.0,,
tower_of_god,0.0,1694.0,973.0,0.0,0.0,0.0,0,2,0,0,2,0,0.0,0.0,0.0,,
deca_dence,4434.0,3192.0,2373.0,347.0,217.0,222.0,0,0,0,0,0,0,44.0,0.0,0.0,,
haikyuu_s4p2,979.0,1148.0,1133.0,226.0,143.0,90.0,0,0,0,0,0,0,32.0,0.0,0.0,,
my_hero_academia_s5,21739.0,16688.0,14509.0,182.0,43.0,27.0,5,2,3,5,2,3,3.0,0.0,0.0,,
ijiranaide_nagatoro,39933.0,32522.0,30857.0,304.0,156.0,317.0,8,9,8,8,9,8,33.0,0.0,0.0,,
fumetsu_no_anata_e,98148.0,66120.0,89817.0,324.0,216.0,311.0,8,3,4,8,3,4,19.0,0.0,26.0,29.0,14.0
mieruko_chan,40223.0,37884.0,29564.0,357.0,251.0,162.0,4,3,8,4,3,8,0.0,0.0,17.0,,
blue_period,59240.0,50557.0,41173.0,354.0,203.0,137.0,4,3,5,4,3,5,12.0,11.0,12.0,8.0,
komi_san,58072.0,48843.0,41299.0,412.0,242.0,203.0,17,12,16,17,12,16,0.0,0.0,0.0,,
ao_ashi,36491.0,31815.0,31622.0,250.0,140.0,126.0,5,1,4,5,1,4,11.0,8.0,13.0,35.0,12.0
isekai_ojisan,93852.0,96791.0,73516.0,347.0,263.0,224.0,11,11,13,11,11,13,41.0,32.0,45.0,34.0,16.0
spy_x_family_part2,1.0,2.0,0.0,,,,0,0,0,0,0,0,,,,,
mob_psycho_100_s3,29854.0,25855.0,21951.0,0.0,0.0,0.0,4,3,2,4,3,2,0.0,0.0,0.0,,
kage_no_jitsuryokusha,72796.0,64043.0,65764.0,,,,9,8,8,9,8,8,,,,,
tomo_chan_wa_onnanoko,33880.0,32183.0,22491.0,336.0,64.0,45.0,5,7,6,5,7,6,0.0,0.0,0.0,,
vinland_saga_s2,41880.0,37925.0,36645.0,0.0,0.0,0.0,2,1,1,2,1,1,0.0,0.0,0.0,,
dr_stone_new_world,41994.0,32317.0,35833.0,,,,2,6,4,2,6,4,,,,,
mahou_tsukai_no_yome_s2,35755.0,31174.0,24932.0,100.0,0.0,0.0,4,2,1,4,2,1,0.0,0.0,0.0,,
bleach_tybw_p2,22362.0,17319.0,16856.0,318.0,157.0,102.0,3,2,3,3,2,3,22.0,24.0,19.0,,
kusuriya_no_hitorigoto,235476.0,166180.0,165893.0,290.0,154.0,161.0,17,6,6,17,6,6,15.0,11.0,21.0,19.0,13.0
undead_unluck,38903.0,35667.0,26067.0,374.0,185.0,138.0,4,5,1,4,5,1,0.0,0.0,30.0,,
shangri_la_frontier,398.0,275.0,221.0,248.0,135.0,99.0,0,0,0,0,0,0,12.0,0.0,13.0,,
dungeon_meshi,107195.0,76787.0,55959.0,350.0,160.0,117.0,16,2,3,16,2,3,13.0,9.0,28.0,19.0,19.0
boku_yaba_s2,36766.0,31765.0,31247.0,,,,3,2,1,3,2,1,,,,,
konosuba_s3,514.0,423.0,471.0,,,,0,0,0,0,0,0,,,,,
kimetsu_hashira_geiko,1388.0,862.0,1763.0,252.0,109.0,65.0,0,0,0,0,0,0,4.0,3.0,2.0,,
